date,spy_pct_due_0d,qqq_pct_due_0d,aapl_days_to_earnings,aapl_days_from_earnings,amzn_days_to_earnings,amzn_days_from_earnings,msft_days_to_earnings,msft_days_from_earnings,nvda_days_to_earnings,nvda_days_from_earnings,tsla_days_to_earnings,tsla_days_from_earnings,earnings_days_to_spy_above_5pct,earnings_days_from_spy_above_5pct,earnings_weeks_to_spy_above_5pct,earnings_weeks_from_spy_above_5pct,earnings_days_to_spy_above_10pct,earnings_days_from_spy_above_10pct,earnings_weeks_to_spy_above_10pct,earnings_weeks_from_spy_above_10pct,earnings_days_to_spy_above_20pct,earnings_days_from_spy_above_20pct,earnings_weeks_to_spy_above_20pct,earnings_weeks_from_spy_above_20pct,earnings_days_to_qqq_above_5pct,earnings_days_from_qqq_above_5pct,earnings_weeks_to_qqq_above_5pct,earnings_weeks_from_qqq_above_5pct,earnings_days_to_qqq_above_10pct,earnings_days_from_qqq_above_10pct,earnings_weeks_to_qqq_above_10pct,earnings_weeks_from_qqq_above_10pct,earnings_days_to_qqq_above_20pct,earnings_days_from_qqq_above_20pct,earnings_weeks_to_qqq_above_20pct,earnings_weeks_from_qqq_above_20pct
2022-01-03,0.0,0.0,17.0,,22.0,,15.0,,31.0,,16.0,,22,,3,,22,,3,,204,,29,,22,,3,,22,,3,,24,,3,
2022-01-04,0.0,0.0,16.0,,21.0,,14.0,,30.0,,15.0,,21,,3,,21,,3,,203,,29,,21,,3,,21,,3,,23,,3,
2022-01-05,0.0,0.0,15.0,,20.0,,13.0,,29.0,,14.0,,20,,3,,20,,3,,202,,29,,20,,3,,20,,3,,22,,3,
2022-01-06,0.1758,0.0,14.0,,19.0,,12.0,,28.0,,13.0,,19,,3,,19,,3,,201,,29,,19,,3,,19,,3,,21,,3,
2022-01-07,0.0,0.0,13.0,,18.0,,11.0,,27.0,,12.0,,18,,3,,18,,3,,200,,29,,18,,3,,18,,3,,20,,3,
2022-01-10,0.0,0.0,12.0,,17.0,,10.0,,26.0,,11.0,,15,,2,,15,,2,,197,,28,,15,,2,,15,,2,,17,,2,
2022-01-11,0.0,0.0,11.0,,16.0,,9.0,,25.0,,10.0,,14,,2,,14,,2,,196,,28,,14,,2,,14,,2,,16,,2,
2022-01-12,0.0,0.0,10.0,,15.0,,8.0,,24.0,,9.0,,13,,2,,13,,2,,195,,28,,13,,2,,13,,2,,15,,2,
2022-01-13,0.0712,0.0,9.0,,14.0,,7.0,,23.0,,8.0,,12,,2,,12,,2,,194,,28,,12,,2,,12,,2,,14,,2,
2022-01-14,2.3772,0.0,8.0,,13.0,,6.0,,22.0,,7.0,,11,,2,,11,,2,,193,,28,,11,,2,,11,,2,,13,,2,
2022-01-18,1.5666,0.0,7.0,,12.0,,5.0,,21.0,,6.0,,7,,1,,7,,1,,189,,27,,7,,1,,7,,1,,9,,1,
2022-01-19,4.7768,2.4452,6.0,,11.0,,4.0,,20.0,,5.0,,6,,1,,6,,1,,188,,27,,6,,1,,6,,1,,8,,1,
2022-01-20,1.6722,1.7763,5.0,,10.0,,3.0,,19.0,,4.0,,5,,1,,5,,1,,187,,27,,5,,1,,5,,1,,7,,1,
2022-01-21,0.2213,0.0,4.0,,9.0,,2.0,,18.0,,3.0,,4,,1,,4,,1,,186,,27,,4,,1,,4,,1,,6,,1,
